id,FalseSent,OptionA,OptionB,OptionC
sentence_4547,"If you want to see penguins in the wild, you should go to Africa.",The penguins in Africa all live in zoos.,The penguins in Antarctica are all native born.,"Like many animals in Africa, penguins cannot fly."
sentence_4548,Of course the son was older than his own father.,One sons father is another fathers son.,The sons brother is his own fathers son.,No son can exceed his own father in age.
sentence_4549,"My sister thinks her favorite color is red, but she is wrong.",You can't be wrong about your own favorite color.,My sister and I have the same favorite color.,Red is some peoples' favorite color.
sentence_4550,My sister ate the box of chocolates.,The box of chocolates has edible products.,Chocolates are taken from a box.,The box of chocolates is not edible.
sentence_4551,I rode the motorcycle off a lion,The motorcycle does not jump off from a lion,Close to the motorcycle there was a lion,A lion ran in front of the motorcycle
sentence_4552,You can find penguins in the Arctic Circle.,The only penguins that live north of the equator live on the Galapagos Islands.,Penguins do not fly to migrate to the polar bear's habitat in the Arctic Circle.,Polar bears do not hunt penguins in the Arctic Circle.
sentence_4553,The forest is comprised of thousands of weeds.,A weed is too short to provide shade in the forest like a tree.,Forests are defined by and made up of trees and not weeds.,Weeds spread faster than trees in the forest.
sentence_4554,He went fishing for silverfish.,A silverfish is too small to be caught with his fishing pole.,Silverfish are insects and not fish that can be fished for.,A fishing license for silverfish does not exist for him to acquire.
sentence_4555,The apples were killed in the basket,Baskets can kill insects who are eating apples,Apples cannot die,A basket of apples can kill an infant if hit hard enough
sentence_4556,The zebra texted the lion,People sometimes text about zebras and lions,"Zoos have zebras and lions, a place where people can text",Zebras and lions don't text
sentence_4557,It's important to do laundry to get good grades,You can have someone else do your laundry while you study,Laundry machine factories have workers who studied in college,Doing laundry won't help you study
sentence_4558,The barber trimmed his lips with scissors,Some men have trimmed mustaches over their lips,Lips don't need to be trimmed,Lips can kiss a trimmed bush
sentence_4559,He poured cake into a cup,Cake isn't a liquid,Cakes require liquids to be made,Cake can be consumed with liquids such as tea
sentence_4560,She listened to the water because she was thirsty,"You can listen to audio on the internet about thirst, while drinking water",Listening to water doesn't quench thirst,If you listen to your body you can tell if you're thirsty and need water
sentence_4561,"When people cry, tears come out of their ears",Both tear ducts and ears can get blocked,Mammals have ears and ear ducts,There are no tear ducts in ears
sentence_4562,Bread is a beverage usually served hot,Beverages are liquid and bread is not,Sometimes liquid beverages and bread are sweet,Bread is sometimes eaten together with liquids and beverages
sentence_4563,Monkeys go swimming to get bananas,Bananas need water to grow so monkeys can eat them,"You can make a smoothie from ice, milk and bananas",Bananas don't grow in water
sentence_4564,Kim is dating the garbage.,Garbage goes in the garbage can.,People don't have relationships with garbage.,Garbage smells really bad.
sentence_4565,Bubbles are a kind of nut.,Bubbles are fragile.,Bubbles are not food.,Bubbles are shiny.
sentence_4566,The man read a chapter of his coffee.,Coffee doesn't contain words in it.,Spilled coffee can stain clothes.,Coffee is very dark and bitter.
sentence_4567,The man hunted doorknobs in the spring.,Doorknobs are inanimate objects.,Doorknobs are usually very small.,Doorknobs are made of hard materials.
sentence_4568,The floor wanted to keep its approval rating up.,Floors need to be cleaned regularly.,Floors aren't capable of thoughts or desires.,Floors are difficult to install.
sentence_4569,The man thought the task was too spicy.,Some tasks are very hard and some are easy.,Tasks are a common part of everyday life.,A task is a concept and has no flavor.
sentence_4570,we humans live on Mars,Mars goes around the sun,the shape of Mars is like sphere,Mars lacks the conditions for human survival
sentence_4571,he added vinegar to his coffee,the color of vinegar is usually similar to that of coffee,vinegar makes coffee too sour to drink,coffee and vinegar have different ingredients
sentence_4572,she wants to eat some food because she is full,she is full so she wants to take a walk,people always don't eat food when they are full,she is full after she ate some food
sentence_4573,junk food can make people slimmer,junk food is delicious,people are happy when they are eating junk food,junk food is high caloric
sentence_4574,I sleep on the table every night,some tables are round and some are square,the table is not for sleeping,I don't need to sleep every night
sentence_4575,I opened the window when it rained,the rain wet the room through the open window,the rain was heavy and the window was open,the rain could clean the room through the open window
sentence_4576,you should see a cook when you feel uncomfortable,the cook cannot examine an uncomfortable person,eating food cooked by a cook can make you feel comfortable,the cook sometimes feel uncomfortable
sentence_4577,I go to the police station to see a music drama,police are not good at performing a music drama,police station is not a place to see a music drama,police is too small for a music drama
sentence_4578,people use clothes to absorb extra ink from a fountain pen,the clothes are too expensive to absorb extra ink,extra ink may make clothes more colorful,the ink marks on the clothes are difficult to wash off
sentence_4579,the lady was eating more sweets and snacks to reduce her weight,more sweets and snacks with higher calorie make people gain weight,eating more sweets and snacks makes the lady happy,the lady can eat more sweets and snacks after she lose the weight
sentence_4580,monkeys hang out on the sea,the sea is too broad for monkeys to hang out,the sea water tastes salty for monkeys,monkeys can't swim in the sea
sentence_4581,I have compassion for someone that I respect,people usually have compassion for displace persons,I respect for the person who has compassion,people rarely have compassion for someone that I respect
sentence_4582,helping others makes John feel shameful,helping the bad guys makes John feel shameful,people always feel happy after helping others,John feels shameful when he is helped by others
sentence_4583,he needed to visit his neighbor before he cooked dinner,he wants to take some food from his neighbor for dinner,visiting the neighbor is not in the preparation steps of cooking dinner,he can cook dinner at his neighbor's house
sentence_4584,the final step for a farmer after making things grow is going to school,a farmer can go to school to learn how to make things grow,a farmer goes to school and see some growing plants,going to school is not a step in farming process
sentence_4585,the school serves liquor,the students can't bring liquor to school,"the school is a place for teaching, not for liquor",the teachers can drink liquor after school
sentence_4586,a cat usually can fit into a pop-top can,a cat shouldn't drink soda from a pop-top can,a pop-top can is too small for a cat to fit into,the material of a pop-top can is harmful to a cat
sentence_4587,a swamp is likely to contain a large village,a swamp is usually full of water and villagers need to drink water,a swamp is usually not suitable for human habitation,a large village is likely to contain a swamp
sentence_4588,Jack is swimming in the playground,Jack don't like swimming in the playground,playground is a public place for residents,no one can swim in the playground
sentence_4589,Mary watched sunrise at yesterday dusk,the sun didn't rise yesterday,Mary didn't go out at yesterday dusk,the sun falls at dusk
sentence_4590,he hurried to the supermarket to catch the plane,the planes don't take off in the supermarket,his home is far away from the supermarket,supermarket sells many kinds of model planes
sentence_4591,he plays fifa on his shirt,there is no fifa logo in his shirt,"he wears a sweater, not a shirt",no one can plays fifa on clothes
sentence_4592,she met a penguin in the Arctic,penguins don't live in the Arctic,she doesn't like penguins,the Arctic is too cold for penguin to live
sentence_4593,my brother is wearing a beautiful skirt,I don't have a brother,boys always don't wear skirts,my brother can't afford a skirt
sentence_4594,it is always raining in a desert,there are few animals in a desert,raining can damp a desert,it seldom rains in a desert
sentence_4595,Peter caught a mouse in the sea,some people are afraid of mice,the mice are usually gray and the sea is usually blue,there are no mice in the sea
sentence_4596,pear trees drop their fruit to the sky,peers don't have wings to drop to the sky,gravity makes objects fall from the top down,lots of peers can't fill the sky
sentence_4597,I learned to play the piano at football class,some students at football class are weak in playing the piano,the piano is usually irregularly shaped while the football is usually round,the teacher at football class doesn't teach people to play the piano
sentence_4598,"while the parents are shopping, their child likes to go to hospital",the parents don't want their child to go to hospital,most children don't like to go to hospital,the child want to go to the mall next to the hospital
sentence_4599,he usually plays basketball with his feet,no one plays basketball by feet,basketball is in round-shapes,he walks on his feet
sentence_4600,tigers like eating grass,the grass is usually green,the tigers never eat grass,tigers are animals while grass is plants
sentence_4601,a bird swims in the water,the birds can't swim,the birds has wings,birds need water to drink
sentence_4602,she was born on September 31th,September only has 30 days,September is in autumn,she was born by her mother
sentence_4603,dogs catch and eat rats,both dogs and rats run very fast,dogs rarely catch and eat rats,dogs eat food when they are hungry
sentence_4604,he gets a bad dream when he is awake,people don't dream when they are awake,bad dream makes him feel bad,he is awake and remembers his bad dream
sentence_4605,Tom gets passed when he tries to cross a concrete wall,a concrete wall is hard and thick,Tom is trying something crazy,human can't cross a concrete wall
sentence_4606,Peter makes a law after getting up every day,the role of law is to regulate people's words and deeds,all citizens are bound by duty to uphold the sacred laws,a law should be made via many people's deep consideration and debate
sentence_4607,dad getting up in the early morning of refreshing weather makes me very worried,taking a walk in early morning with refreshing weather is a good idea,many people worried about morning weather,waking up early in good weather is nothing to worry about
sentence_4608,the formerly lonely man feel sad after chatting with friends for hours,the man who is chatting with friends feel so lonely,chatting with friends usually makes the lonely person happy,chatting with friends is a good way to decrease loneliness
sentence_4609,Tom went to the office to see live entertainment,Tom saw live entertainment because working at office is boring,the office is too small to hold a live entertainment,"an office is a place of work, not of entertainment"
sentence_4610,"the man was showing off a wristwatch, he was trying to donate it for drug money",the wristwatch is so expensive that no one can afford it,the person who donate something always didn't get money,the man want to donate his wristwatch to win the favor
sentence_4611,the soldier wears a down jacket to protect himself from a bullet,a down jacket is unable to stop a bullet,a down jacket can make people feel warm,a bullet goes fast while a down jacket is thick
sentence_4612,Sleeping helps one to go forward,sleeping make people in good spirits,someone can go forward without sleeping,no one can go forward by sleeping
sentence_4613,Debbie buys a ficus and put it in the internet bar,the internet bar is not a place to grow plants,the fruit of the ficus is food for birds,there are many computers in the internet bar
sentence_4614,the teacher opened up the water bottle and took out the paper clips to arrange and sort papers at her desk,the water bottle is too large to place paper clips,a bottle full of water has no room for paper clips,paper clips are not usually kept in a water bottle
sentence_4615,being nervous is the opposite of being dead,many people are very afraid of death,very few people died of nervousness,there is no opposition between nervousness and death
sentence_4616,a pig is flying in the sky,pigs are usually pink while sky is usually blue,a pig can not fly in the sky,a pig is too heavy to be lift by the cloud
sentence_4617,pandas like eating bomb,a panda doesn't know the usage of a bomb,bombs is dangerous and pandas don't eat them,no living panda knows the exact taste of any bomb
sentence_4618,Jason plays computer games with his lovely dog,dogs can hardly play computer games in most cases,Jason's dog is too stupid to play computer games,Jason's dog doesn't like playing computer games
sentence_4619,"because he could not finish the assignment, his girlfriend was called to the school by the teacher",his girlfriend will be angry about his poor behavior,his girlfriend will feel very doubtful while being called by the teacher,his girlfriend is not responsible for his academic assignment
sentence_4620,"Alex is admitted by MIT, which makes his mother very depressed",parents are always happy to see their children to be admitted by outstanding university,"his mother wants herself to be admitted by MIT, not her child Alex",his mother used to be an excellent graduate of MIT
sentence_4621,I worked 31 days in February this year,February has no more than 29 days,I'm not so diligent,every month at most has 31 days
sentence_4622,I saw a tree walking yesterday,trees have leaves,trees can't move itself,some trees may have flowers
sentence_4623,the moon is square tonight,the moon is yellow sometimes,the moon can't be square,the moon is far from the earth
sentence_4624,Lilly barbecues fish in the water,fish lives in the water,fire can't exist in the water,barbecued fish is delicious
sentence_4625,I eat my cooked lunch from a dustbin,dustbin is full of rubbishes,I don't need to eat lunch,no one eat lunch from a dustbin
sentence_4626,I usually read books in the night with light off,reading books in the night is a good habit,light is useful in the dark night,no one can read books in the darkness
sentence_4627,I'm searching a chinese word in an english dictionary,an english dictionary doesn't has any chinese word,an english dictionary contains many english words,a chinese word may be difficult to understand for English
sentence_4628,I wear my right shoe on my left feet,my right shoe is too big for my left feet,my right shoe doesn't fit my left feet,I wear my shoes every day
sentence_4629,I listen to music with my eyes,I like listening to music,listening to music makes me relaxed,my eyes can't hear any voice
sentence_4630,I opened my house's door by my car's key,my house's door is big and safe,my car's key is small and delicate,my car's key doesn't fit too my house's door
sentence_4631,I drink salt water when I'm thirsty,salt water will make me more thirsty,salt water is easy to find,I always feel thirsty after doing sports
sentence_4632,trees usually fall leaves in spring,leaves are usually yellow when they fall,spring is one of four seasons,trees usually get new leaves in spring
sentence_4633,I see the sunshine at night,I can see the moon at night,sunshine makes me feel warm,sunshine can't be seen at night
sentence_4634,a boy wears high-heeled shoes,high-heeled shoes can make a boy taller,high-heeled shoes have many kinds,boys don't wear high-heeled shoes
sentence_4635,human has a tail,tail is usually on the bottom,human doesn't have a tail,human walks by two legs
sentence_4636,I'm happy when I'm insulted,insulting others is rude and improper,I have never insulted others,getting insulted doesn't make anyone happy
sentence_4637,a fish is walking on the ground,fish can swim in the water,fish has two big eyes,no fish can walk on the ground
sentence_4638,I feel my tears when I'm laughing,people rarely has tears when laughing,I laugh when I'm happy,people's tears taste salty
sentence_4639,I felt happy when my father passed away,I loved my father when he was alive,my father loved me so much when he was alive,parents passing away doesn't make one happy
sentence_4640,a car is slower than a bike,bike use human's power,a bike is cheaper than a car,a bike is always slower than a car
sentence_4641,there are a lot of teachers in the hospital,teachers go to the hospital when they get ill,"teachers work in the school, not hospital",most teachers are very nice to the students
sentence_4642,the slow wind is a catastrophe,the slow wind is warm and not destructive,the slow wind is the movement of air,the slow wind is transparent
sentence_4643,the ice-cream is hot,ice-cream usually tastes very delicious,summer is hot so many people want to eat ice-creams,ice-cream usually can't be kept when it is hot
sentence_4644,Sam's hair gradually turns green as he gets older,green hair seems cool and special,Sam loves green color so his hair turns green,man's hair can't turn green naturally
sentence_4645,he pours oil to stop fire,oil is too expensive to use to stop fire,fire is harmful to people and city,oil only burn with fire instead of stopping fire
sentence_4646,the earth is smaller than the moon,the earth is much bigger than the moon,the moon is nearly in round shape,the moon is not that far from the earth
sentence_4647,a boat is sailing in the sky,there's lots of stars in the sky,boat can't sail in the sky,sky may be grey in some cities
sentence_4648,an old cock lay an egg,cocks don't lay eggs,chicken like eating rice,people like eating eggs
sentence_4649,he likes eating volleyballs in summer,he likes playing volleyball,summer is hot and dry,no one eat volleyballs
sentence_4650,he breathes air in space,there's no gravity in space,there's no air in space,he can't live without air
sentence_4651,"though he's blind, he often reads books",reading books is a good habit,blind people may need a guide dog,blind people can't see anything
sentence_4652,he's energetic after playing an exciting basketball game,an exciting basketball game is worth watching,he loves playing basketball game,playing an exciting basketball game make people exhausted
sentence_4653,there's much water in the desert,it's hot in the desert at day,it's cold in the desert at night,a desert is lack of water
sentence_4654,lake runs from a place to another,there's many fish in the lake,lake is still so it can't run,lake will get frozen in winter
sentence_4655,I draw pictures by cigarette,cigarette is harmful to one's health,cigarette can't be used to draw pictures,I like draw pictures when I'm free
sentence_4656,I get good grades because I don't study at all,good grades will make one confident,no one will get good grades without study,grades is sometimes important for a student
sentence_4657,a butterfly used to be an egg,butterflies have many kinds and colors,there's no egg able to change into a butterfly,many people like eating eggs as breakfast
sentence_4658,ice will change into steam when it melts,ice changes into steam only when it sublimes,steam's temperature is higher than ice,ice is almost everywhere in the Antarctica
sentence_4659,Peter barbecues meat with water,barbecued meat is delicious,Peter like drinking pure water,no one uses water to barbecue meat
sentence_4660,he worked in Africa for 13 months last year,there's only 12 months in a year,Africa is far away from where he lives,he worked so hard and earned much money
sentence_4661,zebras are in white color only,there's no zebra in white color only,zebras looks like horses,almost all zebras live in Africa
sentence_4662,I walk on the water,the pure water can be drunk,no one can walk on the water,people walk on their feet
sentence_4663,She feels so sleepy when she is watching a interesting film,she may feel sleepy after watching an interesting film,she watches the film at night,interesting things won't make people tired
sentence_4664,I feel more than proud to be found to fart in public,say excuse me immediately if you fart,farting is not a thing to boast about,it is usual to fart in public
sentence_4665,he feeds his house every day,the house can't be fed,his house is so big,he feeds his cat in his house
sentence_4666,I go across the river by sheep,sheep are not vehicles,sheep drinks water by the river,sheep live on the grassland
sentence_4667,you will go south when you follow Polaris,Polaris is also known as the North Star,Polaris points toward the north,Polaris is brighter than some other stars
sentence_4668,the viruses are good for health,there are many kinds of viruses,the viruses can cause many kind of illness,the viruses can exist in many places
sentence_4669,we can hear with our nose,we have one nose and two ears,nose is in the middle of face,we can smell with our nose
sentence_4670,the mirrors are transparent,the mirrors are made of glasses,light cannot penetrate the mirrors,we can see ourself through a mirror
sentence_4671,there are many kinds of sun,there are many kinds of stars and sun is one of them,there is only one sun in our solar system,we can read different books under the sun
sentence_4672,strangers are close to us,most of the strangers don't care us,there are lots of strangers on the road,we shouldn't talk to a stranger
sentence_4673,fossil energy is clean,fossil energy can cause pollution,fossil energy comes from petroleum,there are radioactive elements in the fossil
sentence_4674,a digital watch has pointers,a digital watch has not any pointers,a digital watch shows us time,pointers in a watch are circling
sentence_4675,many people's skin is blue,different races have different colors of skin,most asians have yellow skin,almost no one has blue skin
sentence_4676,frenches use dollars,"frenches use Euros, not dollars",there are some americans in French,Bank of France has many dollars
sentence_4677,private car is a kind of public transport carrier,there are more and more private cars on the road,there are more pollution resulted from private cars,"a private car is private, not public"
sentence_4678,paper would be dry in water,water is not enough to make paper wet,the paper can absorb water,few paper can keep dry in water
sentence_4679,Bob got angry when he passed the exam,Bob doesn't like exams,people usually wish to pass exams,the exam is hard to pass
sentence_4680,he eats a durian without peeling,the durian is too smelly to peel,he is too lazy to peel the durian,the pericarp of durian can't be eaten
sentence_4681,he drives his ship on the road,the ship is lack of fuel oil,a ship can't move without water,he parked his ship at the dock
sentence_4682,I built a house on the moon,I can watch the moon through the telescope,it's impossible to build a house on the moon now,one house cannot cover the whole moon
sentence_4683,the water turns to ice under the sun,the water is liquid while the ice is solid,water and ice can be converted to each other,the water turns to ice below zero degrees centigrade
sentence_4684,Henry became happy after he shot an own goal,shot an own goal makes opponents happy,own goals are sometimes scored in football matches,shot an own goal makes Henry unhappy
sentence_4685,he plays football with his hands,playing football with hands is a foul,he can pick up the football with one hand,he likes playing football with his friends
sentence_4686,I bought a T-shirt in a restaurant,the restaurant doesn't sell clothes,I wore a T-shirt to a restaurant,the food in this restaurant is delicious
sentence_4687,cell phones are everywhere on a beach,parts of a cell phone are made of sand,cell phones can shine while sand cannot,cell phones are not from nature
sentence_4688,he invited his guests to a nearby hospital for dinner,a hospital is usually too quiet for a guest,there are different levels of hospitals in the city,a hospital is not a suitable place to treat guests
sentence_4689,I saved my money to the trash can,I do not want to waste my money,"a trash can is for trash, not for money",I bought a trash can with my own money
sentence_4690,books are usually made of feathers,a feather is usually lighter than a book,feathers are rarely used to make books,this book is about different feathers
sentence_4691,a hamburger usually contains stone,stones can be seen in many places,stones is usually harder than hamburgers,stone isn't a kind of food
sentence_4692,I'm thirsty for french fries,french fries are not used to quench thirsty,french fries are delicious for some people,someone is thirsty after eating french fries
sentence_4693,I put my teacher into my backpack after class,some students don't like teachers,people can't be put into the backpack,there is no room for my teacher in my backpack
sentence_4694,a cow can live in a river,cows don't like eating fish in a river,a cow can only live on the ground,a cow can drink water from a river
sentence_4695,Tom prepares to light the table for illumination after the power outage,the table is glowing when it is burning,Tom can't find the table because of the power outage,there is no need to burn the table for illumination
sentence_4696,Jack took some ice from the stove,the stove sometimes produces a lot of smoke,"the stove is hot, so there is no ice","his stove burns wood, not ice"
sentence_4697,people like who are rude trouble-makers,there are some trouble-makers in the crowd,rude trouble-makers always get people mad,a trouble-maker was sent to the military school
sentence_4698,most kids hate toys,there are so many kinds of toys that kids don't know which to choose,kids are not allowed to play toys freely by their parents,the toys are so interesting that kids love to play with them
sentence_4699,a pair of sneakers has 3 big holes,there are only 2 big holes in a pair of sneakers,sneakers are on foots while pants are on legs,some sneakers have many small breathable holes
sentence_4700,a man can easily see the sun at night,the sun is much more far to the earth than the moon,the earth still runs around the sun at night,"the sun rises up in the morning, and goes down at night"
sentence_4701,my brother drinks sewage before sleeping every day,sewage is too dirty for people to drink,there are many kinds of substances in sewage,people drinks water purified from sewage
sentence_4702,I swim to the other side of the mountain,I swim in the pond by the mountain,the mountain looks like a swimming fish,no one can swim in the mountain
sentence_4703,man took a walk at the boundary the Milky Way,no one can walk at the boundary the Milky Way,we humans are all in the Milky Way,We can see the Milky Way through the Hubble telescope
sentence_4704,"when the traffic light is red, we can pass the road","traffic light has 3 colors: red, yellow, green",it is against the law to run a red light,there are some roads without traffic lights
sentence_4705,we can design pictures with an earphone,some earphones are more expensive than some pictures,we can appreciate pictures when we use earphones,we can only listen to sounds with an earphone
sentence_4706,we open our eyes when we sleep,we close our eyes so we can sleep,enough sleep is good for our eyes,our eyes take a rest when we sleep
sentence_4707,there are lots of pens in a book,pens are expensive while books are cheap,pens can exist on a desk,pens are used to write a book while words constitute a book
sentence_4708,robot will die if they don't eat food,robot do not need to eat food,current robots are not smart enough,robot can help human eat food
sentence_4709,smart phones can play basketball,a smart phone is smaller than a basketball,we can bring our smart phones when we paly basketball,people can play basketball while smart phones can't
sentence_4710,we become younger when the time pass,"biologically, no one can become younger",time pass forever while we cannot exist forever,young peoples do not have much free time
sentence_4711,there are lots of mountains in the ocean,ocean is bigger than a mountain,mountains cannot exist in the ocean,there are lots of water in an ocean
sentence_4712,there are some fish on the tree,we can roast the fish under a tree,some fish can see the trees by the river,fish can only live in the water
sentence_4713,Jack keeps still when he jumps from a building,"stillness is relative, and movement is absolute",people cannot keep still when they jump,buildings are high while Jack is short
sentence_4714,"when the sun falls down, people wake up",the sunrise and sunset are both beautiful,the sun falls down and people wake up every day,"when the sun falls down, people usually go to bed"
sentence_4715,liquor usually can refresh someone,liquor usually makes people dizzy and stupid,some people like to drink liquor,someone continued to drink liquor after refreshed
sentence_4716,I can use my phone to swim with my friends,nowadays phones are very smart,phones are of no use for swimming,I call my friends with phone to swim
sentence_4717,John gets married with his elder sister,John doesn't love his sister at all,John and his sister got married on the same day,people can't marry their close relatives
sentence_4718,he saw a strawberry in black color,there is no strawberry in black color,strawberry tastes sweet and a little sour,strawberry juice mixed with apple juice tastes delicious
sentence_4719,he got excited when his friends betrayed him,his friends are ruthless and cold to him,no one is excited when being betrayed,many people betray others due to money
sentence_4720,my neighbor is 500 years old,500 years is a half century,no one can live 500 years,my neighbor is an old man
sentence_4721,having a bad cold makes Cindy enjoyable,no on enjoys a bad cold,a bad cold may be deadly,a bad cold is harmful
sentence_4722,we keep in touch by sleeping,people can't connect others by sleeping,no one can live without sleeping,we keep in touch to keep our friendship
sentence_4723,monkeys like eating humans,humans are evolved from monkeys,humans and monkeys both eat fruits,monkeys don't eat humans generally
sentence_4724,staying up makes one excited,no one can be excited after staying up,staying up is harmful to one's health,many people stay up to do works
sentence_4725,I stop my car when the traffic light turns green,"traffic lights have three lights in red, green and yellow color",no car stop and stay still when the traffic light turns green,I like driving my car slowly when passing the cross road
sentence_4726,Tim fell asleep because of the interesting TV show,the interesting TV show taught people how to sleep,the TV show is usually played after some people sleep,"if Tim is attracted by the show, he won't get asleep"
sentence_4727,"when one gets cold, he can take some stomach medicine",stomach medicine can be found in many drugstores,stomach medicine takes no effect on coldness,someone who gets cold sometimes gets stomachache as well
sentence_4728,people like to eat bread which has mildewed,the bread went mildewed quickly because of the wet weather,mildewed bread tastes awful and is harmful to people's health,mildewed bread costs less at the bakery
sentence_4729,the boss got happy because his clerk had lost an important file,the boss always gets unhappy when the clerk gets into big trouble,the boss is tired because he still has a lot of files to approve,The boss dislikes his clerk and wants to dismiss him
sentence_4730,he received the offer to the world top university because of his really bad grades,some students who have bad grades can study hard to enter the top university,students have to get good grades to go into a world-famous university,the top universities prefer students who not only have not bad grades
sentence_4731,I eat more to lose weight,losing weight requires less intake than consumption,not eating is not good for losing weight,eating more vegetables and fruits is useful for weight loss
sentence_4732,"if you're busy now, I'd like to ask you some questions","when people are busy with their work, they will give better responses to questions",people will spare time with others only after they finish their business in most situations,the questioner think he is supposed to ask those questions at the same time to save both time
sentence_4733,"it's too sunny outside, so we have no need of sunscreen",sunscreen protects the skin from sunburn to some extent,we have many people so that there is a lack of sunscreen,because some sunscreen can make our skin uncomfortable
sentence_4734,she was full so she wolfed down eagerly,she couldn't resist her host's enthusiasm so she wolfed down eagerly,the food tasted so delicious that she couldn't help herself enjoying it,she couldn't eat any more otherwise she would feel uncomfortable
sentence_4735,his handwriting is terrible so he should play a lot,playing a lot can't improve his handwriting,he can play a lot after doing some handwriting,he treats doing handwriting as playing a lot
sentence_4736,I'm less short of my breath when I quicken my pace,"moving faster makes me relief, so I'm less short of my breath",moving faster usually result in a more short breath,my pace is so quick that my breath can't keep up with it
sentence_4737,I took off my coat in the cold wind,we'll feel more cold when taking off coat in the cold wind,we'll feel more hungry when the cold wind touched our coat,then wind is not cold enough to harm your coat
sentence_4738,put a basin on his face to wash his face,a basin is not so soft to be used to wash the face,the volume of the basin is more than the cubage of one's head in most cases,a basin cannot be put to one's face to wash the face
sentence_4739,Jack jumps up the cliff,one can jump up the cliff given enough strength,the cliff is too steep and Jack likes jumping,the height of the cliff is much more than the limit of one's strength
sentence_4740,"Saying ""good evening"", he waved his teacher warmly at dawn when he arrived the school","""good evening"" is said by him at the time when he arrived at the school","""good evening"" is used at the time of greeting in the evening instead of in the morning","""good evening"" is said by him to please his teacher in the school"
sentence_4741,I am short so I have an advantage in model show,short girls seldom perform on model show,tall girls can usually perform better in model show,many short girls also like model show
sentence_4742,I do well in math courses so I do well in history courses,history courses are not part of the math courses,people cannot do well in math courses and history courses at the same time,some people do well in math and history courses
sentence_4743,John determines to grow taller so she eats less,his shortness is mainly because of sleeping late instead of diet,he determines to eat less junk food to grow taller,eating less would not provide enough nutrition to grow taller
sentence_4744,I was encouraged by him so I broke up with him,encouragement makes a person feel friendly instead of angry and hostile,the encouragement would only cheer others instead of me,he and I were friends after the encouragement
sentence_4745,Jay played hard to finish the assignment,some guys never work hard to finish the assignment,Jay might be unwished to work on the assignment,playing would not help the achievement of the assignment
sentence_4746,Lin feels happy after left out by her brothers,feeling left out would lead to a person unhappiness,feeling left out would lead to a person happiness,delighted people well seldom feel left out especially by brothers
sentence_4747,Ken eats several books every day,eating books cannot make one full,eating books is not to make full use of them,books are not made to eat
sentence_4748,He gets energetic after 48 hours of continuous work,he's so energetic that he can work 48 hours continuously,long hours of continuous work will cost a lot of energy,he might be pushed by his boss
sentence_4749,England declared war on her ally with great honour,a war of justice will bring glory to the conquer,it's immoral to declare war when there is a truce between them,a country is very likely to join a war when her ally is attacked
sentence_4750,"owing to years of drought and war, his enemy's empire is now very strong",the enemy's empire is strong enough to live throng drought and war,disasters and wars will lead a country weak not strong,"although suffering from drought and war, the empire is still very strong"
sentence_4751,"thanks to the great power of his rivals, it's the best chance he never owns to stab them on the back",stabbing a great power on the back is a good idea to weaken it,it's important to find a chance to stab the rival on the back,it's not wise to attack a rival when he's a great power
sentence_4752,Caesar has secretly raised opponents in the enemy country and they will put Caesar's rival down the throne,one's opponent will not help him to get the throne,Caesar raised opponents on his rival's way to the throne,the opponent Caesar raised has betrayed him
sentence_4753,"due to the lack of salary and training, Octavian will now have more loyalty from his mercenary",the lack of salary and training will weaken his authority and make the mercenary lose loyalty,the mercenary's loyalty doesn't come from salary and training,the mercenary seldom have honour
sentence_4754,"Caesar led his army to cross the river, and he ordered them to burn the river to prevent them from escaping",the burned river can still not prevent his army from escaping,it's impossible for Caesar to burn water in the river,his army will not follow his order to burn the river
sentence_4755,Caesar encountered a military defeat and got a lot of spoils,Caesar encountered a military defeat because his armies only focus on spoils,"generally speaking, only the winner of a battle has spoils",spoils are not the key of a battle
sentence_4756,"Caesar captured a lot of prisoners, to whom he surrendered",Caesar pretend to surrender to capture a lot of prisoners,Bending to the prisoners as a conqueror seldom happens,Caesar's prisoners are very aggressive
sentence_4757,"it's hot inside, we should turn the heater on",the usage of the heater is to make its nearby air hotter,turning the heater on will cause the insider temperature higher,"it's hot inside, just like a heater"
sentence_4758,"after the dinner, I would like to eat desert",eating dinner in the desert is not a good choice,the people who explore the desert may not have so many chances to enjoy their dinner,"desert is so big and made of sand, nobody can eat it"
sentence_4759,I drank a lot of oil after strenuous exercise,drinking oil has no effect on relieving fatigue after exercise,burning the oil can provide energy for the machine to exercise,we may burn some oil in our body during strenuous exercise
sentence_4760,"because it's very hot, I'd like to swim in the lava",the temperature in lava is hot,swimming in the lava is not only hot but also cool,swimming in the lava is not only hot but very dangerous
sentence_4761,"compared to the ant, we're so small in scale",the ant itself is so small in scale,we're much bigger than the ant in scale,the small in scale of the ant is its weakness compared to us
sentence_4762,falling into boiling water makes him feel happy,falling into boiling water is a funny action that can make other people happy,being happy is better than falling into boiling water,people who fall into boiling water can feel pain and even life-threatening
sentence_4763,personal mushrooms are kept in oven to keep fresh,the taste of fresh mushrooms kept in oven can be delicious,"being kept in oven can make mushrooms cooked, not fresh",cooked in oven can keep the fresh flavour of the mushrooms to some degree
sentence_4764,a dance is a great way for him to bounce,bouncing maybe a part of one's dance action,bouncing can help people stretch themselves to perform better in dancing,a dance doesn't have evident effect on bouncing
